username,FIDE_rating,bullet_rating,bullet_games,blitz_rating,blitz_games,rapid_rating,rapid_games,classical_rating,classical_games,puzzle_rating,puzzle_count
Trakeagle,2106,1966,2682,2129,1605,1698,1,1500,0,2243,563
Tkachiev561,1670,2057,1656,2062,5524,1838,47,1122,1,1996,26
kalantaryan,2383,2560,8301,2496,9601,1500,0,1500,0,2421,688
xasid,2348,2421,20798,2499,3169,2130,35,1500,0,2067,515
Ajedreceitor,1700,1708,1411,1833,678,1772,9,1281,20,2421,90
Monang,1438,1821,1009,1937,816,2055,38,1500,0,1904,7
ElColeccionista,1849,2272,8016,2118,1201,1740,18,1500,0,2296,216
mohadesi,1970,2230,2571,2238,361,1590,4,1324,1,1771,450
madrid3-1barca,1350,1548,7264,1390,489,2039,13,2000,6,2371,3627
Kapayor,1600,1534,21088,1702,8626,1804,2081,1650,88,1888,18473
Harishman,1839,2261,2196,2104,1032,2116,17,1500,0,NA,NA
MagentaDock,1603,2060,427,2153,2254,2098,297,1899,45,2286,159
Yazmany,2005,2173,1934,2246,9418,2186,142,1991,8,2110,103
otrov11,2206,2419,10163,2420,3555,2234,32,1432,2,2503,1935
Rustan,1950,2176,11244,2152,1920,2128,199,1996,8,2242,3549
Titzer,1981,2012,12800,2158,5658,1500,0,1500,0,2355,5966
Panthera,1988,2428,74097,2233,3583,2247,442,2225,10,2127,8099
spero5,600,1983,3768,2109,8381,2208,1274,2065,109,2251,62721
migue6,1534,1735,731,1931,10667,1857,501,1757,140,2066,1493
Arthamios,1727,1973,277,2094,3935,2154,11,1500,0,2270,172
luisulloa,1221,1963,525,2083,3098,1975,567,1871,11,2566,389
cacholin2020,1353,2133,2063,2229,3072,2141,600,1971,11,2371,2133
markguach,1456,1900,1078,1916,3077,2011,974,1884,126,2110,1990
Strikerperruno,1991,2376,10375,2369,11962,2301,84,1849,7,2365,2745
Are26,1914,2281,6606,2245,4556,2289,507,1565,4,2245,766
Attaraxico,2076,2294,1080,2191,4292,2293,109,2049,4,2341,783
Alenee,2338,2261,1946,2253,5760,2367,41,1500,0,2321,127
ja_zamudio,2054,2049,1177,2181,4865,2202,30,1500,0,1779,1081
rigotriana,2033,1718,4144,2022,9117,2034,82,2072,116,2071,1243
schwedischerKoch,600,1773,9250,1800,160,1816,76,1800,27,1846,147
Letigam,1977,2057,14572,2039,846,1789,6,1744,2,1918,38
rzvan28,1600,2002,6334,2016,4719,2104,222,2057,23,2309,1037
Devax,3000,1208,373,1340,579,1591,90,1588,12,1880,754
juanpablo1007,1460,1394,27,1775,475,1972,423,1646,3,2037,2377
Eloycardenas,1469,1433,583,1612,7581,1736,72,1536,2,2004,9467
arturo35,1736,1903,7150,2038,17570,2103,2581,1819,52,2041,4224
JORGEALEJANDROTC,3000,969,39,1139,146,1357,178,1207,50,1540,167
Retisangil,2026,1978,7043,2087,8809,2185,157,2045,40,2475,6989
Ali123syria,2900,1683,33058,1777,2440,1388,86,1153,2,2084,569
geub,1948,2139,30,2219,1350,1858,20,1500,0,2318,49
Pomberito,2250,2213,91,2312,5739,2192,30,1500,0,2017,96
josemariagomez,600,1891,18376,2133,23415,2264,2765,1998,130,2358,16040
CAPAHAALAND,1429,2049,433,2233,3307,1953,131,1500,0,2201,471
ferlonichess,1886,1817,230,1982,5568,1973,263,1500,0,2021,10
Hugmetight,1943,1979,323,1971,1126,1500,0,1500,0,NA,NA
RUDACOM,2138,2313,1173,2376,2431,2039,31,1500,0,2223,28
Alfilparanoico,2400,2417,1338,2520,11266,2397,134,1500,0,2439,413
Kikiajedrez,1216,1543,41,1668,1152,1679,414,1562,6,1994,26
josephnarkis,915,1412,1122,1375,6311,1131,33,1215,8,1652,1707
andrem12,1651,2143,870,2069,999,2132,78,1978,5,2192,294
CamargoSamir15,1539,2048,2547,2157,4516,2088,761,2006,189,2329,1878
nico29batista,1654,2227,4547,2211,8327,2160,742,2102,132,2247,1834
CranberryCheese,1519,2113,8417,2145,6001,2053,481,2005,216,2372,1445
Jorge2400,2106,2259,5207,2198,2819,1838,19,1775,2,2193,431
Mikaelbovinick,1855,1216,63,1837,2853,1937,210,1940,1785,2304,472
Itachi2096,2116,2373,7372,2380,5417,2260,8,1500,0,2233,46
bluejay1897,2243,2377,2554,2490,2181,2346,23,2029,4,2504,1288
RCSA007,2409,2534,2514,2478,2353,2324,8,1500,0,2758,824
vangulio,2355,2573,19714,2468,6687,2043,8,1500,0,1998,30
nelsoncopa39,1795,1843,2550,1968,12520,1998,270,1892,130,2183,242
mgneph010,1456,1906,9016,2017,3845,1881,6,1500,0,2122,10
Monterodecjhi,2080,1736,275,2096,408,2217,58,1500,0,1605,3
KRandall12,1887,2003,942,2120,4600,1500,0,1182,2,1911,5
rocoide,2236,2031,373,2229,23352,1500,0,1500,0,1612,3
CoyoteMeister,2050,2222,2658,2185,4641,1500,0,1500,0,NA,NA
matanant,1990,1998,387,1961,68896,2139,1349,2017,416,1968,54
FutureMachine,1800,2117,75,1924,18,1970,42,2088,32,2608,7
AFAZ,1850,2502,5432,2232,7395,2240,30,1630,14,2135,867
Ferrelinperu,1726,1926,4881,2103,9966,1720,18,1456,14,2233,249
Francoquiroz,1518,2225,8461,2263,2675,2298,61,1551,2,2126,731
CTXDiegoLages,1574,1691,607,1907,3439,2000,716,1992,112,2130,334
westcampos,1762,2065,11194,2065,12046,2007,352,1837,25,1939,1051
DaSilvaW,1930,1920,1540,2153,4493,2216,1825,2034,26,2030,791
Ribeirocapivara,1911,2011,108,2121,377,2239,66,2118,22,2230,58
Lichanon,1404,1575,46,1928,973,1865,845,2005,49,2393,944
marciuscarlsen,1888,1987,638,2212,17107,2126,86,2010,75,2025,52
B0ws3r,1966,2079,327,2205,1182,2203,59,1500,0,2264,478
HerbertPaulo,1778,1690,1899,1730,8003,1663,792,1989,1,1312,1
ChessPatzerTunisia,1695,2156,779,2233,1035,2215,31,1500,0,2166,30
Rollpawn666,1654,1612,117,1836,3906,1896,1652,1853,18,1915,4224
Crosbyfrosby,1213,1869,600,1915,804,1987,193,1873,8,2300,88
PatataMagica,1855,2303,2321,2157,1144,1983,10,1500,0,2403,523
DiosdelPremove12,1937,2231,9016,2265,4627,2019,176,1689,1,2286,311
El_Payaso_Justiciero,2236,2363,1542,2404,443,2323,362,1959,4,NA,NA
Lagatica,1505,1748,269,1898,1057,2024,479,1500,0,1837,8
Wilver92,2334,2500,30829,2557,5596,2476,591,2028,9,2335,446
luckyoscuro,1900,2112,4996,2143,2563,2084,34,1500,0,1970,632
karlosmog,1933,2076,1319,2056,2455,2045,5,1500,0,2302,2020
Chess0009,1965,2165,3921,2174,8137,2041,67,1921,8,2301,81
indamiro,1855,1774,81,1976,644,1500,0,1500,0,2262,123
GERAmini,1813,2128,3218,2191,5000,2136,54,1933,4,2300,1678
Cresrowed,1996,2000,2000,2151,2947,1994,3,1500,0,2125,10
sdiaz,1907,2006,1618,2046,6643,2113,86,1500,0,2115,16
THENEWRETURN,2242,2086,2021,2304,7405,2407,351,1500,0,2067,53
DavidEliasLp,1758,2149,753,2084,904,2214,17,2208,74,2571,73
cristiancastro,1951,2222,46846,2045,10495,1936,215,2039,14,2101,24612
jcuello,1694,1806,1329,1954,2780,1566,105,1446,2,2020,558
oetorres,1848,1647,198,1898,4913,1977,63,1500,0,1684,5
Yellow-19,1870,2105,99,2133,232,2023,19,1500,0,2438,366
Albertdavis23,1978,2136,8922,2121,4197,1346,1,1500,0,2040,24
Darop,2016,2282,4503,2327,6632,1500,0,1500,0,1887,45
jsequera,2402,2178,745,2404,3242,1884,22,1815,1,NA,NA
ErnestoRondon,1944,2203,2801,2242,13728,2203,204,2073,32,2105,284
zuletox,2289,2279,2648,2171,773,1500,0,1500,0,2182,18
MNGERMANCHACING,2130,1943,632,2217,7691,1782,5,1500,0,2112,22
Franciscogomez,1818,2062,7599,2054,5795,2034,113,1889,30,2381,978
Pitti1,1950,2012,701,2243,9152,2106,50,1500,0,2023,14
IloveMauritanie,2113,2372,2651,2431,1334,1500,0,1500,0,2200,1
Zeggelaar,1940,1999,4526,1983,2412,2085,110,2015,7,2103,3927
Leybi_aguilo,600,1333,504,1622,2676,1746,394,1697,14,2159,789
carlosfuntes05,2109,2118,1594,2159,185,1615,3,1911,1,1895,3
TierraYLibertad,1662,1986,558,2096,2546,2262,35,1500,0,2009,62
frermetal,1726,2168,9243,2041,6504,2062,73,1500,0,2135,3829
iCe_eNerGyTeaM,2281,2658,6590,2500,3930,2547,578,2461,217,2348,758
Rickfm1,1833,2212,255,2293,1187,2292,15,1500,0,2019,62
walchess,1974,2038,2409,2255,6230,2245,106,1631,1,2267,134
QuesadillaGrande,1200,2486,8258,2237,22,1500,0,1500,0,NA,NA
ralfi1,2250,2223,7050,2323,1332,2499,16,1500,0,NA,NA
RemyAdel9400,1850,1637,1772,1668,103,2047,23,1945,3,1832,509
Joaquincel,2070,2154,462,2357,11392,1500,0,1500,0,1928,392
andrew808,2300,2295,234,2345,1919,1500,0,1500,0,2238,57
Amrdarweesh,2014,2200,9649,2184,10672,2278,141,1500,0,2358,61
Shaxmater,2239,2406,2570,2347,939,1500,0,1500,0,2318,723
BudagoX,1778,1683,206,2026,2215,2058,1024,1964,104,2250,1307
Atlassian,1450,1265,300,1603,6414,1435,104,1445,12,1688,189
ReallyMe,1975,1940,1,2052,9528,1742,5,1500,0,2139,62
gorgar,1903,1953,62064,2039,13131,1995,3,1716,1,NA,NA
antonio_s,2026,2144,184,2334,4609,2240,41,1500,0,2388,52
A_AZIZ,1111,1204,9,1018,126,1342,220,1085,2,1346,15
dmitriy1974,600,1340,2,1306,47,1552,2307,1550,729,1849,141
El-lanza,2056,1948,2122,2108,1497,2007,43,1590,13,1913,137
bobbe,1575,1940,4160,2064,14726,1964,331,1802,9,2027,751
emheyturq,2360,2462,5992,2405,695,2072,19,1858,14,2306,605
scdanny77,1649,2008,1551,2113,5084,2027,542,2015,36,2280,788
Estudio_de_aperturas,1880,2356,2015,2342,3998,2196,182,2102,59,2579,745
MANUESANDOJ_2005,1147,1482,32,2065,227,2164,434,1917,44,2103,35
ALBINOBIANCHI,2088,2275,1342,2290,4614,2178,157,1258,1,1961,215
aereos2,1870,2354,20287,2322,8114,1833,65,1978,16,1450,544
Win_cho,1900,1334,240,1829,4364,1896,96,1881,34,2307,1813
brazileiro1,601,1287,6,1913,4677,1825,105,1500,0,1726,263
LuisEnriqueBHDZ,1812,2079,15559,2009,3990,1912,1598,1804,31,2026,9053
Gionnyxmaster,1943,2122,5843,2109,4869,2095,20,2333,2,2003,35
